date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,lag_4_high_low_diff,lag_4_open_close_diff,lag_4_volume,lag_4_adj_close,lag_5_high_low_diff,lag_5_open_close_diff,lag_5_volume,lag_5_adj_close,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2022-01-18,2022,1,18,1,0,0,0.0,1132,0.24,-0.13,270200.0,3.57,0.23,0.08,384800.0,3.48,0.251,0.088,0.054,0.158,376240.0,256066.413,3.324,0.181,-1.26,-0.599,1.189,0.791,-0.342,-0.532,1.305,0.735,-0.505,-0.389,1.787,-0.478,-0.853,-0.465,-0.797,0.753
2022-01-19,2022,1,19,1,0,0,-13.38,1133,0.32,0.17,253800.0,3.46,0.24,-0.13,270200.0,3.57,0.289,0.118,0.156,0.173,447280.0,268273.577,3.178,0.222,1.198,-1.26,-0.768,0.563,1.293,-0.9,-1.073,0.6,0.664,-0.747,-0.636,1.441,-1.52,-0.036,0.279,0.009
2022-01-20,2022,1,20,1,0,0,-3.191,1134,0.355,0.26,833800.0,3.18,0.32,0.17,253800.0,3.46,0.283,0.117,0.14,0.175,488960.0,245959.769,3.05,0.203,0.063,1.263,-1.221,-0.725,-0.285,1.369,-0.798,-0.969,-0.109,0.555,-0.985,-0.863,-1.135,-1.036,0.592,0.937
2022-01-21,2022,1,21,1,0,0,-6.641,1135,0.198,-0.03,276600.0,3.24,0.355,0.26,833800.0,3.18,0.264,0.11,0.122,0.164,447240.0,182296.977,2.926,0.279,-0.033,0.241,1.519,-1.129,0.292,-0.195,1.571,-0.743,0.976,0.082,0.977,-1.1,-1.313,-0.38,-0.309,0.875
2022-01-24,2022,1,24,1,0,0,4.762,1136,0.14,0.0,246800.0,3.17,0.198,-0.03,276600.0,3.24,0.32,0.137,0.102,0.191,657420.0,405521.346,2.824,0.223,1.172,-0.439,-0.22,0.805,-1.213,0.356,-0.063,1.454,1.652,-0.079,-0.481,-0.079,-0.422,-1.185,-0.018,0.072
2022-01-25,2022,1,25,1,0,0,0.0,1137,0.43,0.38,625400.0,2.84,0.14,0.0,246800.0,3.17,0.39,0.108,0.102,0.191,1423420.0,1520490.139,2.756,0.118,0.926,0.834,-1.204,-0.926,-0.533,-1.213,0.356,-0.063,1.745,-0.063,-0.525,-0.632,0.627,-0.22,-1.661,0.542
2022-01-26,2022,1,26,1,0,0,-6.082,1138,0.29,0.09,462200.0,2.82,0.43,0.38,625400.0,2.84,0.394,0.11,0.059,0.126,1510380.0,1475198.604,2.724,0.111,0.508,0.872,0.781,-1.217,0.83,-0.466,-1.499,0.886,-0.305,1.74,-0.124,-0.6,-0.396,0.955,0.054,-1.477
2022-01-27,2022,1,27,1,0,0,-9.127,1139,0.26,0.17,625200.0,2.56,0.29,0.09,462200.0,2.82,0.426,0.094,0.087,0.148,1584400.0,1417617.725,2.664,0.126,0.254,0.254,0.677,0.571,0.968,0.516,-0.585,-1.462,-0.531,-0.37,1.758,-0.181,-1.141,0.127,1.315,0.523
2022-01-28,2022,1,28,1,0,0,5.535,1140,0.48,-0.13,1327500.0,2.73,0.26,0.17,625200.0,2.56,0.472,0.02,0.023,0.171,1654440.0,1366093.739,2.694,0.112,0.878,-1.073,-1.073,0.878,-1.012,1.216,0.823,-0.133,-0.497,-0.602,-0.435,1.773,0.142,-1.548,-0.125,1.21
2022-01-31,2022,1,31,1,0,1,12.829,1141,0.49,0.0,4076800.0,2.83,0.48,-0.13,1327500.0,2.73,0.456,0.037,-0.029,0.25,1577420.0,1399580.223,2.756,0.193,-1.507,0.915,-0.162,-0.162,-1.443,-0.483,1.038,0.77,-0.454,-0.43,-0.532,-0.37,1.468,-0.238,-1.22,-0.393
2022-02-01,2022,2,1,1,1,0,1.316,1142,0.45,0.163,1060200.0,2.68,0.49,0.0,4076800.0,2.83,0.4,0.111,-0.037,0.249,895820.0,150910.841,2.798,0.232,-1.713,0.0,0.812,0.451,-0.01,-1.414,-0.452,1.072,-1.504,0.309,0.527,-0.421,1.041,1.041,-0.379,-1.196
2022-02-02,2022,2,2,1,0,0,-8.651,1143,0.45,0.23,832300.0,2.52,0.45,0.163,1060200.0,2.68,0.382,0.108,-0.02,0.269,805240.0,163015.07,2.84,0.225,-0.204,-1.592,0.167,1.0,1.003,-0.074,-1.375,-0.483,-1.214,-0.837,0.841,1.044,0.223,0.89,0.89,-0.579
2022-02-03,2022,2,3,1,0,0,-0.791,1144,0.49,-0.15,975400.0,2.71,0.45,0.23,832300.0,2.52,0.326,0.134,-0.062,0.235,694900.0,282814.409,2.892,0.15,-1.168,0.255,-0.869,0.554,0.356,1.328,0.092,-1.4,-1.465,-0.31,-0.092,0.875,-0.749,-0.013,0.99,0.99
2022-02-04,2022,2,4,1,0,0,4.422,1145,0.4,-0.39,942400.0,3.04,0.49,-0.15,975400.0,2.71,0.268,0.104,-0.058,0.233,562940.0,272972.98,2.938,0.11,-0.652,-0.94,0.882,-0.556,-0.311,0.342,1.321,0.076,-0.906,-1.034,0.163,0.388,0.018,-1.441,-0.438,0.93
2022-02-07,2022,2,7,1,0,0,-0.751,1146,0.21,-0.04,668800.0,3.04,0.4,-0.39,942400.0,3.04,0.248,0.079,0.025,0.14,478000.0,173233.758,2.916,0.094,0.657,-0.606,-0.985,1.414,-0.02,-1.102,-0.02,1.604,0.229,-0.937,-1.14,0.746,0.149,0.255,-1.447,-0.277
2022-02-08,2022,2,8,1,0,0,7.595,1147,0.36,0.25,607300.0,2.89,0.21,-0.04,668800.0,3.04,0.254,0.077,-0.015,0.185,437580.0,137471.732,2.94,0.138,-0.183,0.6,-0.704,-1.095,-1.216,0.201,-0.621,0.201,0.212,0.583,-0.887,-1.142,1.59,-0.072,-0.0,-1.156
2022-02-09,2022,2,9,1,0,0,3.354,1148,0.17,0.022,280600.0,2.78,0.36,0.25,607300.0,2.89,0.26,0.087,-0.087,0.111,470140.0,194972.955,3.018,0.2,1.486,-0.229,0.457,-0.686,-0.205,-1.373,0.981,-0.385,1.538,-0.018,0.244,-0.793,1.313,0.712,-0.441,-0.391
2022-02-10,2022,2,10,1,0,0,7.294,1149,0.2,-0.13,315600.0,2.94,0.17,0.022,280600.0,2.78,0.336,0.139,-0.141,0.111,578500.0,213019.987,3.142,0.207,1.535,0.387,-0.689,-0.258,-0.966,0.282,-0.894,1.476,1.145,0.899,-0.525,-0.285,1.245,0.666,0.087,-1.023
2022-02-11,2022,2,11,1,0,0,-7.524,1150,0.3,0.022,517700.0,2.93,0.2,-0.13,315600.0,2.94,0.378,0.118,-0.067,0.204,652420.0,155288.206,3.192,0.174,0.271,1.455,0.102,-1.168,1.505,-0.886,-0.21,-0.846,0.211,1.095,0.758,-1.196,-0.012,1.198,0.507,-0.184
2022-02-14,2022,2,14,1,0,0,-1.917,1151,0.24,-0.24,466700.0,3.16,0.3,0.022,517700.0,2.93,0.388,0.112,-0.06,0.209,599520.0,236480.86,3.232,0.109,-0.34,0.197,1.448,0.018,0.572,1.434,-0.902,-0.241,-1.464,0.362,0.942,0.721,-0.932,-0.384,1.536,0.439
2022-02-15,2022,2,15,1,0,0,7.225,1152,0.39,-0.11,770100.0,3.28,0.24,-0.24,466700.0,3.16,0.394,0.102,-0.062,0.211,582680.0,250864.2,3.292,0.138,-1.207,-0.433,0.155,1.526,-0.892,0.576,1.428,-0.883,-0.798,-1.313,0.409,0.956,1.213,-1.17,-0.737,0.78
2022-02-16,2022,2,16,1,0,0,0.0,1153,0.55,-0.248,822400.0,3.4,0.39,-0.11,770100.0,3.28,0.362,0.126,-0.04,0.211,476860.0,263325.365,3.318,0.148,-1.049,-0.724,-0.097,0.379,0.188,-0.999,0.473,1.328,-0.896,-0.358,-0.849,0.791,0.624,0.962,-1.274,-0.868
2022-02-17,2022,2,17,1,0,0,-1.534,1154,0.41,0.24,685200.0,3.19,0.55,-0.248,822400.0,3.4,0.29,0.089,0.02,0.176,348120.0,202479.967,3.29,0.141,-1.121,-0.673,-0.215,0.669,0.17,-0.114,-1.532,0.227,-0.837,-0.529,0.17,-0.469,-0.212,0.85,1.204,-1.133
2022-02-18,2022,2,18,1,0,0,1.231,1155,0.35,0.06,253200.0,3.13,0.41,0.24,685200.0,3.19,0.25,0.063,-0.036,0.126,277440.0,80090.031,3.302,0.133,-0.635,-0.951,-0.319,0.328,-0.032,0.681,0.285,-1.696,0.679,-1.233,-0.455,1.312,-0.391,-0.316,0.812,1.189
