date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2018-02-20,2018,2,20,1,0,0,0.09,1924,0.723,0.087,-0.286,0.318,77824500.0,15447956.879,22.318,0.047,-1.15,0.483,0.667,-2.44,0.836,0.272,-1.108,0.591,-1.145,0.441,0.704,-1.202,-0.009,1.005,-0.995,-17.558
2018-02-21,2018,2,21,1,0,0,-0.819,1925,0.608,0.166,-0.012,0.191,64358000.0,18535832.137,22.301,0.074,-1.042,0.091,0.951,1.048,1.019,-0.04,-0.98,-3.279,-0.867,-0.228,1.094,1.313,-1.093,0.224,0.869,-0.403
2018-02-22,2018,2,22,1,0,0,3.074,1926,0.634,0.206,-0.182,0.467,70994000.0,29655365.602,22.539,0.47,1.027,-0.97,-0.057,0.636,-1.127,0.78,0.348,-0.036,1.131,-0.765,-0.366,0.46,1.148,-0.679,-0.47,-0.368
2018-02-23,2018,2,23,1,0,0,1.199,1927,0.602,0.216,-0.27,0.446,80034000.0,28814443.41,22.923,0.639,-0.353,1.129,-0.776,0.095,-0.026,-0.987,1.013,0.56,0.251,0.851,-1.102,-0.69,0.856,0.243,-1.099,-0.946
2018-02-26,2018,2,26,1,0,0,1.097,1928,0.605,0.213,-0.417,0.253,85636000.0,19773642.077,23.459,0.375,-0.762,-0.37,1.132,-0.799,0.616,0.537,-1.154,2.368,-1.039,0.082,0.956,-1.888,0.985,0.03,-1.015,-3.302
2018-02-27,2018,2,27,1,0,0,-1.499,1929,0.545,0.113,-0.064,0.359,74774000.0,11345140.237,23.566,0.23,1.073,-0.907,-0.166,2.678,1.154,-0.549,-0.605,-1.796,-0.248,-0.853,1.101,2.624,-0.724,1.141,-0.417,-2.122
2018-02-28,2018,2,28,1,0,1,-2.772,1930,0.659,0.213,0.241,0.458,76035500.0,13444084.396,23.366,0.48,0.984,0.031,-1.015,-0.624,0.859,0.239,-1.098,-1.142,1.116,-0.303,-0.813,0.835,-1.033,0.07,0.963,0.217
2018-03-01,2018,3,1,1,1,0,-4.255,1931,0.924,0.291,0.641,0.294,88763500.0,15785696.857,22.777,0.674,1.083,-0.194,-0.889,-1.653,1.012,-0.024,-0.988,-3.069,0.92,0.145,-1.064,-1.499,-1.062,0.139,0.923,1.56
2018-03-02,2018,3,2,1,0,0,2.429,1932,0.975,0.231,0.343,0.782,90240500.0,13464060.857,22.425,0.411,-0.685,1.148,-0.463,-1.34,-1.133,0.761,0.372,0.009,-1.029,0.969,0.06,-1.358,-0.203,-0.883,1.086,2.373
2018-03-05,2018,3,5,1,0,0,0.288,1933,0.874,0.342,0.111,0.756,79011000.0,23075240.042,22.209,0.14,-0.906,-0.167,1.073,-0.016,-0.231,-0.864,1.095,0.692,-0.938,-0.113,1.052,0.522,0.103,0.945,-1.048,4.719
