date,open,high,low,adj_close,volume,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns,returns_prc
1981-09-14,0.085379,0.085379,0.084821,0.066003,27686400,1981,9,14,3,0,0,-0.01937599999999999,-29.356241382967426
1981-09-15,0.083147,0.083147,0.082589,0.064267,19510400,1981,9,15,3,0,0,-0.018879999999999994,-29.37744098837661
1981-09-16,0.081473,0.081473,0.080915,0.062964,19353600,1981,9,16,3,0,0,-0.018508999999999998,-29.396162886728916
1981-09-17,0.079241,0.079241,0.078683,0.061227,19376000,1981,9,17,3,0,0,-0.01801400000000001,-29.421660378591163
1981-09-18,0.079241,0.079799,0.079241,0.061661,26320000,1981,9,18,3,0,0,-0.017580000000000005,-28.51072801284443
1981-09-21,0.079799,0.080357,0.079799,0.062095,49033600,1981,9,21,3,0,0,-0.017703999999999998,-28.51115226668814
1981-09-22,0.075893,0.075893,0.075335,0.058622,47420800,1981,9,22,3,0,0,-0.017271,-29.461635563440346
1981-09-23,0.074777,0.074777,0.073661,0.057319,28201600,1981,9,23,3,0,0,-0.017457999999999994,-30.457614403600893
1981-09-24,0.073661,0.073661,0.073103,0.056885,18300800,1981,9,24,3,0,0,-0.016776000000000006,-29.491078491693777
1981-09-25,0.064732,0.064732,0.063616,0.049503,34608000,1981,9,25,3,0,0,-0.015229,-30.763792093408483
1981-09-28,0.064174,0.064732,0.064174,0.049937,91728000,1981,9,28,3,0,0,-0.014236999999999993,-28.509922502352946
1981-09-29,0.067522,0.06808,0.067522,0.052542,94684800,1981,9,29,3,0,0,-0.01498,-28.510524913402612
1981-09-30,0.06808,0.068638,0.06808,0.052976,49996800,1981,9,30,3,0,1,-0.015104,-28.51102385986107
1981-10-01,0.06808,0.068638,0.06808,0.052976,61129600,1981,10,1,4,1,0,-0.015104,-28.51102385986107
1981-10-02,0.073661,0.074219,0.073661,0.057319,45046400,1981,10,2,4,0,0,-0.016342000000000002,-28.51061602609955
1981-10-05,0.075893,0.077009,0.075893,0.059056,43097600,1981,10,5,4,0,0,-0.016837000000000005,-28.510227580601473
1981-10-06,0.075893,0.075893,0.075335,0.058622,28358400,1981,10,6,4,0,0,-0.017271,-29.461635563440346
1981-10-07,0.079799,0.080915,0.079799,0.062095,38841600,1981,10,7,4,0,0,-0.017703999999999998,-28.51115226668814
1981-10-08,0.082589,0.083147,0.082589,0.064267,31091200,1981,10,8,4,0,0,-0.01832199999999999,-28.509188230351484
1981-10-09,0.083147,0.084263,0.083147,0.064701,54521600,1981,10,9,4,0,0,-0.018446000000000004,-28.509605724795605
1981-10-12,0.085938,0.086496,0.085938,0.066873,27350400,1981,10,12,4,0,0,-0.019065,-28.509263828450944
1981-10-13,0.085938,0.087054,0.085938,0.066873,44195200,1981,10,13,4,0,0,-0.019065,-28.509263828450944
1981-10-14,0.081473,0.081473,0.080915,0.062964,30979200,1981,10,14,4,0,0,-0.018508999999999998,-29.396162886728916
1981-10-15,0.082589,0.083147,0.082589,0.064267,29433600,1981,10,15,4,0,0,-0.01832199999999999,-28.509188230351484
1981-10-16,0.082031,0.082031,0.081473,0.063398,36467200,1981,10,16,4,0,0,-0.01863300000000001,-29.390517051011088
1981-10-19,0.083147,0.083705,0.083147,0.064701,20585600,1981,10,19,4,0,0,-0.018446000000000004,-28.509605724795605
1981-10-20,0.087612,0.08817,0.087612,0.068175,35728000,1981,10,20,4,0,0,-0.019436999999999996,-28.510451045104507
1981-10-21,0.087612,0.08817,0.087612,0.068175,76899200,1981,10,21,4,0,0,-0.019436999999999996,-28.510451045104507
1981-10-22,0.087612,0.087612,0.087054,0.067741,32278400,1981,10,22,4,0,0,-0.019871,-29.333786037997665
1981-10-23,0.085379,0.085379,0.084821,0.066003,27910400,1981,10,23,4,0,0,-0.01937599999999999,-29.356241382967426
1981-10-26,0.084821,0.085379,0.084821,0.066003,27283200,1981,10,26,4,0,0,-0.018817999999999988,-28.510825265518214
